Scientist,Institute,Country,Rank,Field
"Gr�tzel, Michael",Ecole Polytechnique F�d�rale de Lausanne,che,1,Enabling & Strategic Technologies
"Willett, Walter C.",Harvard T.H. Chan School of Public Health,usa,2,Clinical Medicine
"Wang, Zhong Lin",Georgia Institute of Technology,usa,3,Enabling & Strategic Technologies
"Kessler, Ronald C.",Harvard Medical School,usa,4,Clinical Medicine
"Kresse, Georg",Universit�t Wien,aut,5,Physics & Astronomy
"Friston, Karl",University College London,gbr,6,Clinical Medicine
"Witten, Edward",Institute for Advanced Studies,usa,7,Physics & Astronomy
"Whitesides, George M.",Harvard Faculty of Arts and Sciences,usa,8,Chemistry
"McEwen, Bruce S.",Rockefeller University,usa,9,Clinical Medicine
"Barnes, Peter J.",National Heart and Lung Institute,gbr,10,Clinical Medicine
"Altman, Douglas",University of Oxford,gbr,11,Clinical Medicine
"Halliwell, Barry",NUS Yong Loo Lin School of Medicine,sgp,12,Biomedical Research
"Karin, Michael",UC San Diego School of Medicine,usa,13,Biomedical Research
"Yusuf, Salim",McMaster University,can,14,Clinical Medicine
"Perdew, John P.",Temple University,usa,15,Physics & Astronomy
"Semenza, Gregg L.",Johns Hopkins School of Medicine,usa,16,Biomedical Research
"Folkman, Judah",Children's Hospital Boston,usa,17,Clinical Medicine
"Ridker, Paul M.",Harvard Medical School,usa,18,Clinical Medicine
"Langer, Robert",Massachusetts Institute of Technology,usa,19,Clinical Medicine
"Akira, Shizuo","WPI Immunology Frontier Research Center, Osaka University",jpn,20,Clinical Medicine
"Becke, Axel D.",Dalhousie University,can,21,Physics & Astronomy
"Bandura, Albert",Stanford University,usa,22,Psychology & Cognitive Sciences
"Libby, Peter",Harvard Medical School,usa,23,Clinical Medicine
"Newman, M. E.J.","University of Michigan, Ann Arbor",usa,24,Physics & Astronomy
"Selkoe, Dennis",Harvard Medical School,usa,25,Clinical Medicine
"Dinarello, Charles A.",Radboud University Medical Center,nld,26,Clinical Medicine
"Mattson, Mark P.",Johns Hopkins School of Medicine,usa,27,Clinical Medicine
"Corma, Avelino",Consejo Superior de Investigaciones Cient�ficas,esp,28,Chemistry
"Jain, Rakesh K.",Harvard Medical School,usa,29,Clinical Medicine
"Zadeh, Lotfi A.","University of California, Berkeley",usa,30,Information & Communication Technologies
"Hu, Frank B.",Harvard T.H. Chan School of Public Health,usa,31,Clinical Medicine
"Ioannidis, John P.A.",Stanford University School of Medicine,usa,32,Clinical Medicine
"Trost, Barry M.",Stanford University,usa,33,Chemistry
"Kannel, William B.","National Heart, Lung, and Blood Institute (NHLBI)",usa,34,Clinical Medicine
"Massague, Joan",Memorial Sloan-Kettering Cancer Center,usa,35,Biomedical Research
"Grundy, Scott M.",UT Southwestern Medical Center,usa,36,Clinical Medicine
"Wang, Joseph",Department of NanoEngineering,usa,37,Chemistry
"Lander, Eric S.",Broad Institute,gbr,38,Biomedical Research
"Kroemer, Guido",Institut de Cancerologie Gustave Roussy,fra,39,Clinical Medicine
"Grimme, Stefan",Universit�t Bonn,deu,40,Chemistry
"Alivisatos, A. Paul",Lawrence Berkeley National Laboratory,usa,41,Enabling & Strategic Technologies
"Sheldrick, George M.",Georg-August-Universit�t G�ttingen,deu,42,Chemistry
"Lieber, Charles M.",Harvard John A. Paulson School of Engineering and Applied Sciences,usa,43,Clinical Medicine
"Reed, John C.",Sanford Burnham Prebys Medical Discovery Institute,usa,44,Clinical Medicine
"Goodenough, J. B.",The University of Texas at Austin,usa,45,Enabling & Strategic Technologies
"Bartel, David P.",Howard Hughes Medical Institute,usa,46,Biomedical Research
"Braunwald, Eugene",Harvard Medical School,usa,47,Clinical Medicine
"Nei, Masatoshi",Pennsylvania State University,usa,48,Biology
"Jain, Anil",Michigan State University,usa,49,Information & Communication Technologies
"Guyatt, Gordon",McMaster University,can,50,Clinical Medicine
"Ferrara, Napoleone",Moores Cancer Center,usa,51,Clinical Medicine
"Rosenberg, Steven A.",National Cancer Institute (NCI),usa,52,Clinical Medicine
"Iijima, Sumio",Meijo University,jpn,53,Physics & Astronomy
"Rutter, Michael",King's College London,gbr,54,Psychology & Cognitive Sciences
"Holick, Michael F.",Boston University School of Medicine,usa,55,Clinical Medicine
"Koonin, Eugene V.",National Center for Biotechnology Information (NCBI),usa,56,Biomedical Research
"Hinton, Geoffrey",Google LLC,,57,Information & Communication Technologies
